order_id,product_id
20018,2030301005022
20018,2030301003312
20018,2030301004296
20027,2030301001226
20027,2030301002838
20029,2040401001271
20029,2040414000057
20029,2040414000007
20029,2040412000057
20044,2020201000805
20048,2020203000293
20059,2030317000011
20060,2030301002838
20071,2030311000772
20076,2030311000479
20075,2040402000109
20075,2040409000160
20075,2040402000082
20094,2040417000001
20094,2020213000021
20094,2040417000042
20094,2040417000059
20094,2040401000510
20122,2060605000308
20122,2040417000356
20124,2040405000097
20124,2040405000150
20124,2040405000637
20151,2030303004717
20151,2030303003455
20156,2030307000164
20179,2030307000339
20213,2040426000440
20215,2020201000436
20222,2030301004335
20222,2030301005051
20222,2030301001863
20254,2030302000552
20293,2060601000659
20314,2020207000044
20323,2060606002101
20326,2020203000115
20346,2030301004296
20346,2030301004885
20346,2030301002113
20346,2030321000170
20361,2060608000406
20368,2031609600430
20368,2030303004677
20368,2030303003457
20368,2030303003851
20403,2040417000336
20412,2030301001318
20418,2060607000406
20418,2060607000407
20418,2060607000382
20418,2060607000408
20455,2030301005125
20455,2030301000910
20468,2030311000196
20468,2030311000446
20469,2040405000542
20483,2030301004104
20504,2030301001265
20504,2030301004296
20504,2030301005376
20520,2010133000933
20520,2060606001563
20520,2060606001526
20520,2040405000430
20520,2040405000715
20529,2010127000457
20539,2040414000181
20539,2040414000203
20539,2040414000167
20539,2040414000215
20539,2040414000078
20488,2060608000295
20552,2030301001265
20552,2030301005376
20552,2030301004296
20559,2010108000101
20572,2040401000632
20572,2040401000148
20572,2040401000630
20572,2040401000577
20578,2010105000163
20578,2010107000218
20578,2010117001055
20578,2040402000920
20586,2020208000319
20605,2060606002299
20637,2030307000100
20672,2060607000422
20672,2060607000421
20677,2040414000078
20677,2040414000090
20677,2040414000084
20677,2040414000203
20677,2040414000167
20677,2040414000127
20677,2040414000214
20540,2040414000181
20540,2040414000078
20540,2040414000215
20540,2040414000167
20695,2010101000628
20714,2060607000634
20720,2030301001596
20720,2010141000618
20720,2010141000543
20720,2010141000123
20734,2030301001063
20598,2040417000322
20598,2040406000129
20598,2040407000840
20598,2070701000108
20598,2040408000095
20598,2040408000093
20598,2040408000025
20598,2040408000094
20598,2040425000011
20598,2040419000220
20598,2040419000210
20738,2040406000129
20738,2040408000095
20738,2040408000093
20738,2040408000025
20738,2040408000094
20738,2040425000011
20738,2040419000220
20738,2040419000210
20738,2040407000840
20738,2040417000322
20743,2030301004893
20745,2040405000598
20745,2040409000088
